ID_Transaccion;Fecha;ID_Producto;Nombre_Producto;Categoria;Cantidad;Precio_Unitario;Total_Venta;Pais;Metodo_Pago
T1001;05-01-2024;P201;Audifonos Bluetooth;Audio;2;45,00;90,00;México;Tarjeta
T1002;08-01-2024;P205;Mouse Inalambrico;Periférico;1;25,50;25,50;Chile;PayPal
T1003;12-01-2024;P201;Audifonos Bluetooth;Audio;3;45,00;135,00;Colombia;Tarjeta
T1004;15-01-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Perú;Tarjeta
T1005;20-01-2024;P202;Smartwatch;Wearable;1;120,00;120,00;Argentina;Tarjeta
T1006;01-02-2024;P204;Webcam HD;Periférico;2;60,00;120,00;México;PayPal
T1007;03-02-2024;P206;Cargador Rapido;Accesorio;4;15,00;60,00;Colombia;Transferencia
T1008;10-02-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Chile;Tarjeta
T1009;14-02-2024;P202;Smartwatch;Wearable;2;120,00;240,00;Argentina;Tarjeta
T1010;28-02-2024;P205;Mouse Inalambrico;Periférico;3;25,50;76,50;México;PayPal
T1011;05-03-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Tarjeta
T1012;10-03-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1013;18-03-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1014;25-03-2024;P201;Audifonos Bluetooth;Audio;2;45,00;90,00;Argentina;Tarjeta
T1015;30-03-2024;P202;Smartwatch;Wearable;1;120,00;120,00;México;PayPal
T1016;01-04-2024;P205;Mouse Inalambrico;Periférico;1;25,50;25,50;Colombia;Tarjeta
T1017;08-04-2024;P203;Teclado Mecánico;Periférico;2;85,00;170,00;Chile;PayPal
T1018;15-04-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Perú;Transferencia
T1019;20-04-2024;P206;Cargador Rapido;Accesorio;3;15,00;45,00;Argentina;Tarjeta
T1020;25-04-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;México;Tarjeta
T1021;01-05-2024;P205;Mouse Inalambrico;Periférico;2;25,50;51,00;México;PayPal
T1022;08-05-2024;P203;Teclado Mecánico;Periférico;3;85,00;255,00;Colombia;Tarjeta
T1023;15-05-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1024;20-05-2024;P206;Cargador Rapido;Accesorio;4;15,00;60,00;Perú;Tarjeta
T1025;25-05-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;Tarjeta
T1026;01-06-2024;P202;Smartwatch;Wearable;2;120,00;240,00;México;PayPal
T1027;08-06-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Transferencia
T1028;15-06-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Tarjeta
T1029;20-06-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1030;25-06-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
T1031;01-07-2024;P205;Mouse Inalambrico;Periférico;1;25,50;25,50;México;Tarjeta
T1032;08-07-2024;P203;Teclado Mecánico;Periférico;2;85,00;170,00;Colombia;PayPal
T1033;15-07-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1034;20-07-2024;P206;Cargador Rapido;Accesorio;3;15,00;45,00;Perú;Tarjeta
T1035;25-07-2024;P201;Audifonos Bluetooth;Audio;2;45,00;90,00;Argentina;Tarjeta
T1036;01-08-2024;P202;Smartwatch;Wearable;1;120,00;120,00;México;PayPal
T1037;08-08-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Transferencia
T1038;15-08-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Tarjeta
T1039;20-08-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1040;25-08-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
T1041;01-09-2024;P205;Mouse Inalambrico;Periférico;2;25,50;51,00;México;Tarjeta
T1042;08-09-2024;P203;Teclado Mecánico;Periférico;3;85,00;255,00;Colombia;PayPal
T1043;15-09-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1044;20-09-2024;P206;Cargador Rapido;Accesorio;4;15,00;60,00;Perú;Tarjeta
T1045;25-09-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;Tarjeta
T1046;01-10-2024;P202;Smartwatch;Wearable;2;120,00;240,00;México;PayPal
T1047;08-10-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Transferencia
T1048;15-10-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Tarjeta
T1049;20-10-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1050;25-10-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
T1051;01-11-2024;P205;Mouse Inalambrico;Periférico;1;25,50;25,50;México;Tarjeta
T1052;08-11-2024;P203;Teclado Mecánico;Periférico;2;85,00;170,00;Colombia;PayPal
T1053;15-11-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1054;20-11-2024;P206;Cargador Rapido;Accesorio;3;15,00;45,00;Perú;Tarjeta
T1055;25-11-2024;P201;Audifonos Bluetooth;Audio;2;45,00;90,00;Argentina;Tarjeta
T1056;01-12-2024;P202;Smartwatch;Wearable;1;120,00;120,00;México;PayPal
T1057;08-12-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Transferencia
T1058;15-12-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Tarjeta
T1059;20-12-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1060;25-12-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
T1061;07-01-2024;P202;Smartwatch;Wearable;1;120,00;120,00;México;Tarjeta
T1062;14-01-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;PayPal
T1063;21-01-2024;P206;Cargador Rapido;Accesorio;3;15,00;45,00;Colombia;Transferencia
T1064;28-01-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Perú;Tarjeta
T1065;05-02-2024;P201;Audifonos Bluetooth;Audio;2;45,00;90,00;Argentina;Tarjeta
T1066;12-02-2024;P205;Mouse Inalambrico;Periférico;1;25,50;25,50;México;PayPal
T1067;19-02-2024;P202;Smartwatch;Wearable;1;120,00;120,00;Colombia;Tarjeta
T1068;26-02-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Transferencia
T1069;03-03-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1070;10-03-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
T1071;17-03-2024;P205;Mouse Inalambrico;Periférico;2;25,50;51,00;México;Tarjeta
T1072;24-03-2024;P203;Teclado Mecánico;Periférico;3;85,00;255,00;Colombia;PayPal
T1073;31-03-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1074;07-04-2024;P206;Cargador Rapido;Accesorio;4;15,00;60,00;Perú;Tarjeta
T1075;14-04-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;Tarjeta
T1076;21-04-2024;P202;Smartwatch;Wearable;2;120,00;240,00;México;PayPal
T1077;28-04-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Transferencia
T1078;05-05-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Tarjeta
T1079;12-05-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1080;19-05-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
T1081;26-05-2024;P205;Mouse Inalambrico;Periférico;1;25,50;25,50;México;Tarjeta
T1082;02-06-2024;P203;Teclado Mecánico;Periférico;2;85,00;170,00;Colombia;PayPal
T1083;09-06-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1084;16-06-2024;P206;Cargador Rapido;Accesorio;3;15,00;45,00;Perú;Tarjeta
T1085;23-06-2024;P201;Audifonos Bluetooth;Audio;2;45,00;90,00;Argentina;Tarjeta
T1086;30-06-2024;P202;Smartwatch;Wearable;1;120,00;120,00;México;PayPal
T1087;07-07-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Transferencia
T1088;14-07-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Tarjeta
T1089;21-07-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1090;28-07-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
T1091;04-08-2024;P205;Mouse Inalambrico;Periférico;2;25,50;51,00;México;Tarjeta
T1092;11-08-2024;P203;Teclado Mecánico;Periférico;3;85,00;255,00;Colombia;PayPal
T1093;18-08-2024;P204;Webcam HD;Periférico;1;60,00;60,00;Chile;Transferencia
T1094;25-08-2024;P206;Cargador Rapido;Accesorio;4;15,00;60,00;Perú;Tarjeta
T1095;01-09-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;Tarjeta
T1096;08-09-2024;P202;Smartwatch;Wearable;2;120,00;240,00;México;PayPal
T1097;15-09-2024;P203;Teclado Mecánico;Periférico;1;85,00;85,00;Colombia;Transferencia
T1098;22-09-2024;P204;Webcam HD;Periférico;2;60,00;120,00;Chile;Tarjeta
T1099;29-09-2024;P206;Cargador Rapido;Accesorio;5;15,00;75,00;Perú;Tarjeta
T1100;06-10-2024;P201;Audifonos Bluetooth;Audio;1;45,00;45,00;Argentina;PayPal
